mu,sigma,opp,result,date
1337.69078745,290.31746003,Rayo Vallecano,0,2013-08-19T00:00:00
1470.91354858,270.255687772,Real Sociedad,0.5,2013-08-24T00:00:00
1434.81401792,233.405263769,Almeria,0.5,2013-08-30T00:00:00
1428.92573537,205.038599324,Real Valladolid,0.5,2013-09-16T00:00:00
1288.38319178,191.267375553,Osasuna,0,2013-09-20T00:00:00
1278.92412956,187.292711393,Real Madrid,0,2013-09-25T00:00:00
1380.99489502,171.659953817,Celta Vigo,1,2013-09-29T00:00:00
1479.16963474,160.440795776,Espanyol,1,2013-10-05T00:00:00
1535.17859596,148.149157613,Real Betis,1,2013-10-20T00:00:00
1468.56157341,139.153472801,Granada,0,2013-10-26T00:00:00
1490.6264856,132.641479132,Athletic Bilbao,0.5,2013-10-31T00:00:00
1460.38188231,126.031545227,Villarreal,0,2013-11-04T00:00:00
1470.45340874,120.198828137,Getafe,0.5,2013-11-09T00:00:00
