mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Toulouse,1,2013-08-10T00:00:00
1433.06224852,260.486583291,Bastia,0,2013-08-17T00:00:00
1384.57704799,236.611041849,Marseille,0,2013-08-24T00:00:00
1282.74900235,207.860974601,Lorient,0,2013-08-31T00:00:00
1252.74782187,195.137058944,St Etienne,0,2013-09-14T00:00:00
1228.75355096,185.106569218,Nice,0,2013-09-22T00:00:00
1214.84144217,179.307163181,Paris Saint-Germain,0,2013-09-25T00:00:00
1143.82742534,163.03766236,Sochaux,0,2013-09-28T00:00:00
1195.92593642,158.449483565,Stade de Reims,0.5,2013-10-05T00:00:00
1229.5180869,150.055489742,Stade Rennes,0.5,2013-10-19T00:00:00
1196.87215411,141.038179129,Evian Thonon Gaillard,0,2013-10-26T00:00:00
1260.20899334,133.244577648,AC Ajaccio,1,2013-11-02T00:00:00
