mu,sigma,opp,result,date
1662.30921255,290.31746003,Malaga,1,2013-08-17T00:00:00
1484.49322285,251.258513316,Espanyol,0,2013-08-24T00:00:00
1425.6514196,225.878736939,Barcelona,0,2013-09-01T00:00:00
1314.29460347,201.294098608,Real Betis,0,2013-09-15T00:00:00
1267.54856972,184.892067915,Swansea City,0,2013-09-19T00:00:00
1342.23794586,169.295471019,Sevilla FC,1,2013-09-22T00:00:00
1422.70317153,157.072172584,Granada,1,2013-09-25T00:00:00
1447.61771035,149.515784946,Rayo Vallecano,1,2013-09-28T00:00:00
1462.01151253,140.574392074,Athletic Bilbao,0.5,2013-10-06T00:00:00
1414.0301455,132.14784423,Real Sociedad,0,2013-10-19T00:00:00
1393.50624647,127.098611812,Villarreal,0,2013-10-27T00:00:00
1334.68784735,122.401037146,Almeria,0,2013-10-30T00:00:00
1397.43551709,119.240419726,Getafe,1,2013-11-03T00:00:00
1397.82902327,113.982344639,Real Valladolid,0.5,2013-11-10T00:00:00
