mu,sigma,opp,result,date
1500,350,,,
1337.69078745,290.31746003,Napoli,0,2013-08-25T00:00:00
1337.69078745,247.461044398,Sampdoria,0.5,2013-09-01T00:00:00
1379.14242718,220.145948808,Udinese,0.5,2013-09-15T00:00:00
1306.9137568,196.854744742,Torino,0,2013-09-22T00:00:00
1341.44429062,181.643329527,AC Milan,0.5,2013-09-25T00:00:00
1331.16760592,177.687047396,AS Roma,0,2013-09-29T00:00:00
1301.1563138,166.942093183,Hellas Verona,0,2013-10-06T00:00:00
1236.85215772,154.456186407,Sassuolo,0,2013-10-20T00:00:00
1305.17325357,144.283366288,Livorno,1,2013-10-27T00:00:00
1366.34599791,135.888663164,Cagliari,1,2013-10-30T00:00:00
1348.98160187,129.552425153,Chievo Verona,0.5,2013-11-04T00:00:00
