mu,sigma,opp,result,date
1337.69078745,290.31746003,Valencia,0,2013-08-17T00:00:00
1279.68483035,260.486532706,Barcelona,0,2013-08-25T00:00:00
1294.64706093,225.013015655,Sevilla FC,0.5,2013-09-01T00:00:00
1406.70935588,199.744327557,Rayo Vallecano,1,2013-09-15T00:00:00
1457.6666031,185.334647401,Real Sociedad,0.5,2013-09-21T00:00:00
1516.59807955,169.292378613,Almeria,1,2013-09-24T00:00:00
1501.89285934,156.706139988,Real Valladolid,0.5,2013-09-27T00:00:00
1413.09935272,149.584856329,Osasuna,0,2013-10-04T00:00:00
1402.07277432,146.094683998,Real Madrid,0,2013-10-19T00:00:00
1341.04727668,137.361260338,Celta Vigo,0,2013-10-26T00:00:00
1363.36995991,131.352773708,Espanyol,0.5,2013-10-29T00:00:00
1412.49685912,124.521446712,Real Betis,1,2013-11-03T00:00:00
1384.76059007,118.910588487,Granada,0,2013-11-08T00:00:00
