mu,sigma,opp,result,date
1500,350,,,
1337.69078745,290.31746003,Liverpool,0,2013-08-17T00:00:00
1467.31242645,247.461059205,Crystal Palace,1,2013-08-24T00:00:00
1598.43890481,218.511894254,West Ham United,1,2013-08-31T00:00:00
1592.30789009,194.83534863,Manchester City,0.5,2013-09-14T00:00:00
1551.16079502,179.969388939,Arsenal,0,2013-09-22T00:00:00
1445.28087837,168.012266022,Norwich City,0,2013-09-29T00:00:00
1350.86865092,157.974196654,Fulham,0,2013-10-05T00:00:00
1372.99691266,148.442948923,West Bromwich Albion,0.5,2013-10-19T00:00:00
1349.22321882,141.369585158,Manchester United,0,2013-10-26T00:00:00
1382.02958685,136.709748577,Southampton,0.5,2013-11-02T00:00:00
