mu,sigma,opp,result,date
1500.0,290.317451614,Norwich City,0.5,2013-08-17T00:00:00
1455.81445213,251.258469741,West Bromwich Albion,0.5,2013-08-24T00:00:00
1482.03001318,221.150483095,Cardiff City,0.5,2013-08-31T00:00:00
1636.81874909,203.806157777,Chelsea,1,2013-09-14T00:00:00
1681.38318233,187.080000556,West Ham United,1,2013-09-21T00:00:00
1723.68204178,172.708404863,Newcastle United,1,2013-09-30T00:00:00
1631.06369741,160.323990384,Manchester City,0,2013-10-05T00:00:00
1680.45250834,148.591064318,Hull City,1,2013-10-19T00:00:00
1711.53156249,140.230147856,Aston Villa,1,2013-10-26T00:00:00
1706.83453645,131.967294648,Tottenham Hotspur,0.5,2013-11-03T00:00:00
1667.05217039,130.801277235,Crystal Palace,0.5,2013-11-09T00:00:00
