mu,sigma,opp,result,date
1337.69078745,290.31746003,Torino,0,2013-08-25T00:00:00
1208.06914844,247.461059205,Livorno,0,2013-09-01T00:00:00
1164.46881181,226.938023557,Hellas Verona,0,2013-09-15T00:00:00
1150.0677863,219.887155382,Internazionale,0,2013-09-22T00:00:00
1262.76527224,217.754417715,Napoli,0.5,2013-09-25T00:00:00
1330.31208887,202.306292275,Lazio,0.5,2013-09-29T00:00:00
1268.53213477,181.77683366,Parma,0,2013-10-06T00:00:00
1343.79688121,165.319925217,Bologna,1,2013-10-20T00:00:00
1332.96331979,152.565467393,Catania,0.5,2013-10-27T00:00:00
1287.4212391,142.156710027,Udinese,0,2013-10-30T00:00:00
1349.16522578,134.239851634,Sampdoria,1,2013-11-03T00:00:00
1390.75658964,133.317607658,AS Roma,0.5,2013-11-10T00:00:00
