mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,AC Ajaccio,1,2013-08-11T00:00:00
1720.31516965,260.486532706,Guingamp,1,2013-08-17T00:00:00
1528.49306783,235.21013662,Lille,0,2013-08-25T00:00:00
1621.53592985,206.12216432,Bordeaux,1,2013-09-01T00:00:00
1651.13316325,193.729864506,Valenciennes,1,2013-09-14T00:00:00
1524.32608987,180.841356606,Toulouse,0,2013-09-20T00:00:00
1458.54896307,164.416978182,Marseille,0,2013-09-24T00:00:00
1459.56796502,151.761160297,Bastia,0.5,2013-09-28T00:00:00
1441.84657342,146.201614667,AS Monaco,0,2013-10-05T00:00:00
1474.41253299,137.892797215,Lorient,1,2013-10-20T00:00:00
1507.07783575,133.741153282,Paris Saint-Germain,0.5,2013-10-27T00:00:00
1478.54907224,129.359948212,Sochaux,0.5,2013-11-02T00:00:00
