mu,sigma,opp,result,date
1337.69078745,290.31746003,Fulham,0,2013-08-17T00:00:00
1423.31124908,260.486536783,Southampton,0.5,2013-08-24T00:00:00
1248.40303442,230.68654762,Crystal Palace,0,2013-08-31T00:00:00
1225.99142667,219.800397058,Arsenal,0,2013-09-14T00:00:00
1142.55684989,194.041469127,West Bromwich Albion,0,2013-09-21T00:00:00
1127.40512672,187.623209897,Liverpool,0,2013-09-29T00:00:00
1109.67471394,180.091128835,Manchester United,0,2013-10-05T00:00:00
1092.02669843,172.969141694,Swansea City,0,2013-10-19T00:00:00
1226.11427121,167.875817722,Newcastle United,1,2013-10-27T00:00:00
1200.41366529,158.715329451,Hull City,0,2013-11-02T00:00:00
1317.3258876,154.827621677,Manchester City,1,2013-11-10T00:00:00
