mu,sigma,opp,result,date
1500,350,,,
1500.0,290.317451614,Paris Saint-Germain,0.5,2013-08-09T00:00:00
1410.55516664,251.258475319,AS Monaco,0,2013-08-18T00:00:00
1518.34521048,218.858924057,Sochaux,1,2013-08-24T00:00:00
1518.74047098,195.204768287,Nice,0.5,2013-09-01T00:00:00
1538.15372839,178.05305567,Stade de Reims,0.5,2013-09-14T00:00:00
1533.87935376,162.885722726,Evian Thonon Gaillard,0.5,2013-09-21T00:00:00
1538.17789614,150.871806405,Stade Rennes,0.5,2013-09-26T00:00:00
1518.27040597,142.261870055,AC Ajaccio,0.5,2013-09-29T00:00:00
1554.5263362,133.83377839,Lyon,1,2013-10-06T00:00:00
1517.65060958,126.705425687,Lille,0,2013-10-19T00:00:00
1467.6193549,120.854277143,Bordeaux,0,2013-10-27T00:00:00
1477.65075567,115.823412477,Nantes,0.5,2013-11-03T00:00:00
