mu,sigma,opp,result,date
1500,350,,,
1337.69078745,290.31746003,Valenciennes,0,2013-08-10T00:00:00
1337.69078745,247.461044398,Bordeaux,0.5,2013-08-17T00:00:00
1425.91768805,231.52090543,AS Monaco,0.5,2013-08-23T00:00:00
1320.57594342,204.301778554,Bastia,0,2013-08-31T00:00:00
1382.06544695,192.588120367,Marseille,0.5,2013-09-14T00:00:00
1507.35302913,179.940198638,St Etienne,1,2013-09-20T00:00:00
1560.9037321,164.825340506,Lorient,1,2013-09-25T00:00:00
1522.24423156,153.675665836,Paris Saint-Germain,0,2013-09-28T00:00:00
1583.6509539,143.272344914,Nice,1,2013-10-05T00:00:00
1623.83568043,134.781140742,Stade de Reims,1,2013-10-18T00:00:00
1557.06934158,129.134866328,Stade Rennes,0,2013-10-26T00:00:00
1500.44054316,123.354296959,Evian Thonon Gaillard,0,2013-11-02T00:00:00
