fullname,mu,sigma,opp,opp_rating,result,date
Real Betis,1336.0817892,291.752894037,Real Madrid,1500,0,2013-08-18T00:00:00
Real Betis,1244.96326243,254.329313137,Celta Vigo,1500.0,0,2013-08-25T00:00:00
Real Betis,1342.98188265,241.138875187,Espanyol,1682.09645747,0.5,2013-09-01T00:00:00
Real Betis,1468.21010976,213.825522886,Valencia,1421.37766564,1,2013-09-15T00:00:00
Real Betis,1451.79454407,191.867808977,Lyon,1397.26844657,0.5,2013-09-19T00:00:00
Real Betis,1453.704701,177.484998563,Granada,1462.08313966,0.5,2013-09-22T00:00:00
Real Betis,1410.9210941,168.67132731,Athletic Bilbao,1621.11105312,0,2013-09-26T00:00:00
Real Betis,1534.42443215,167.94763769,Villarreal,1823.58937628,1,2013-09-29T00:00:00
Real Betis,1475.16939103,159.200598521,Getafe,1560.34749043,0,2013-10-06T00:00:00
Real Betis,1419.52597097,152.409451485,Elche,1494.39393948,0,2013-10-20T00:00:00
Real Betis,1407.00231103,154.041850731,Atletico Madrid,1850.58654193,0,2013-10-27T00:00:00
Real Betis,1434.89169672,150.353961642,Levante,1607.45916003,0.5,2013-10-31T00:00:00
Real Betis,1366.91517123,145.621857954,Malaga,1340.70525606,0,2013-11-03T00:00:00
Real Betis,1360.45903051,149.565087085,Barcelona,1921.69226041,0,2013-11-10T00:00:00
