mu,sigma,opp,result,date
1337.69078745,290.31746003,Lyon,0,2013-08-10T00:00:00
1566.93775148,260.486583291,Stade Rennes,1,2013-08-17T00:00:00
1520.26141143,229.461253231,AC Ajaccio,0.5,2013-08-25T00:00:00
1519.82509272,201.859269203,Montpellier,0.5,2013-09-01T00:00:00
1616.20649158,182.502658043,Lille,1,2013-09-15T00:00:00
1637.70399342,174.378867667,Valenciennes,1,2013-09-22T00:00:00
1530.98923192,164.072895247,Nantes,0,2013-09-25T00:00:00
1581.94015224,151.724895712,Guingamp,1,2013-09-28T00:00:00
1521.99948735,141.746342504,Toulouse,0,2013-10-05T00:00:00
1574.14062538,133.03804341,Marseille,1,2013-10-18T00:00:00
1521.84415023,126.238171719,Bastia,0,2013-10-26T00:00:00
1476.51232811,120.069085224,Bordeaux,0,2013-11-03T00:00:00
1464.00582937,117.15799565,Paris Saint-Germain,0,2013-11-09T00:00:00
