mu,sigma,opp,result,date
1500,350,,,
1337.69078745,290.31746003,AS Monaco,0,2013-08-10T00:00:00
1337.69078745,247.461044398,Toulouse,0.5,2013-08-17T00:00:00
1499.46851933,222.824676653,Bastia,1,2013-08-24T00:00:00
1414.70878272,198.446773158,St Etienne,0,2013-09-01T00:00:00
1372.32948074,182.86820363,Paris Saint-Germain,0,2013-09-13T00:00:00
1321.329423,168.013482602,Eintracht Frankfurt,0,2013-09-19T00:00:00
1338.83008117,156.569137064,Lorient,0.5,2013-09-22T00:00:00
1368.28230222,148.746063192,Stade de Reims,0.5,2013-09-25T00:00:00
1380.41975144,139.5811478,Evian Thonon Gaillard,0.5,2013-09-28T00:00:00
1411.74378252,132.242005415,Sochaux,1,2013-10-06T00:00:00
1409.9805539,124.996716093,Lyon,0.5,2013-10-20T00:00:00
1458.71146212,119.407951177,Montpellier,1,2013-10-27T00:00:00
1499.44883811,114.299216994,Nice,1,2013-11-03T00:00:00
