mu,sigma,opp,result,date
1500.0,290.317451614,Chievo Verona,0.5,2013-08-25T00:00:00
1322.18403615,251.258497106,Udinese,0,2013-09-01T00:00:00
1295.03303693,237.263845742,AS Roma,0,2013-09-16T00:00:00
1274.83784071,208.828482985,Catania,0.5,2013-09-22T00:00:00
1392.19756465,189.217700256,Atalanta,1,2013-09-25T00:00:00
1434.35234348,176.440465893,Fiorentina,0.5,2013-09-30T00:00:00
1482.97472555,163.257193384,Sassuolo,1,2013-10-06T00:00:00
1443.18739644,152.042486073,Hellas Verona,0,2013-10-20T00:00:00
1513.9060741,142.793391406,AC Milan,1,2013-10-27T00:00:00
1447.92839671,135.300286825,Genoa,0,2013-10-30T00:00:00
1433.28640014,131.26385675,Juventus,0,2013-11-02T00:00:00
1437.61004551,124.284887498,Lazio,0.5,2013-11-10T00:00:00
