mu,sigma,opp,result,date
1500.0,290.317451614,TSG Hoffenheim,0.5,2013-08-10T00:00:00
1544.18554787,251.258469741,Hertha Berlin,0.5,2013-08-18T00:00:00
1474.71188695,223.310231821,Bayern Munich,0,2013-08-24T00:00:00
1364.62941432,198.85696857,FC Augsburg,0,2013-08-31T00:00:00
1318.16211785,184.923035255,TSV Eintracht Braunschweig,0.5,2013-09-15T00:00:00
1383.36225105,179.118671134,Borussia Dortmund,0.5,2013-09-21T00:00:00
1394.78998894,163.642996323,Werder Bremen,0.5,2013-09-29T00:00:00
1326.09521715,151.574906042,Hamburg SV,0,2013-10-06T00:00:00
1345.23303915,142.458431014,Eintracht Frankfurt,0.5,2013-10-19T00:00:00
1361.52576711,134.757943595,VfB Stuttgart,0.5,2013-10-25T00:00:00
1311.17721713,127.404706303,SC Freiburg,0,2013-11-02T00:00:00
1297.08086388,123.794821285,Borussia Monchengladbach,0,2013-11-09T00:00:00
