mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,AC Milan,1,2013-08-24T00:00:00
1532.68757355,247.461059205,AS Roma,0,2013-09-01T00:00:00
1576.28791017,226.938023557,Sassuolo,1,2013-09-15T00:00:00
1520.7421104,204.54434437,Juventus,0,2013-09-22T00:00:00
1525.14815336,183.509420743,Torino,0.5,2013-09-25T00:00:00
1589.63198273,167.104697286,Livorno,1,2013-09-29T00:00:00
1616.62132637,158.284137114,Bologna,1,2013-10-06T00:00:00
1654.26197335,148.141371831,Parma,1,2013-10-20T00:00:00
1608.92834894,138.837643187,Internazionale,0,2013-10-26T00:00:00
1635.29931258,132.265188461,Sampdoria,1,2013-10-30T00:00:00
1650.89343378,128.110039411,Cagliari,1,2013-11-03T00:00:00
