mu,sigma,opp,result,date
1337.69078745,290.31746003,Villarreal,0,2013-08-19T00:00:00
1337.69078745,247.461044398,Getafe,0.5,2013-08-23T00:00:00
1367.58187645,219.837951264,Elche,0.5,2013-08-30T00:00:00
1351.89573381,212.314552673,Atletico Madrid,0,2013-09-14T00:00:00
1390.84221915,192.651220659,Levante,0.5,2013-09-21T00:00:00
1327.73496512,174.464117177,Malaga,0,2013-09-24T00:00:00
1318.55383137,171.04003981,Barcelona,0,2013-09-28T00:00:00
1266.70227875,156.991393864,Sevilla FC,0,2013-10-06T00:00:00
1210.8197346,145.833867995,Rayo Vallecano,0,2013-10-20T00:00:00
1189.15922095,139.326997185,Real Sociedad,0,2013-10-27T00:00:00
1259.77211979,132.929337244,Valencia,1,2013-10-30T00:00:00
1324.30785145,127.394052414,Real Valladolid,1,2013-11-02T00:00:00
1366.69084543,121.093911955,Osasuna,1,2013-11-08T00:00:00
