mu,sigma,opp,result,date
1662.30921255,290.31746003,Sunderland,1,2013-08-17T00:00:00
1433.06224852,260.486583291,Arsenal,0,2013-08-24T00:00:00
1317.62850433,225.687220009,Newcastle United,0,2013-08-31T00:00:00
1302.61998947,199.982025142,West Bromwich Albion,0.5,2013-09-14T00:00:00
1271.21800008,187.455243054,Chelsea,0,2013-09-21T00:00:00
1228.01463053,172.859458729,Cardiff City,0,2013-09-28T00:00:00
1327.94160927,161.857017413,Stoke City,1,2013-10-05T00:00:00
1371.47691403,150.642505589,Crystal Palace,1,2013-10-21T00:00:00
1349.95704962,144.113011186,Southampton,0,2013-10-26T00:00:00
1330.96499289,138.420862489,Manchester United,0,2013-11-02T00:00:00
1315.31333766,133.987463355,Liverpool,0,2013-11-09T00:00:00
