mu,sigma,opp,result,date
1337.69078745,290.31746003,AS Roma,0,2013-08-25T00:00:00
1467.31242645,247.461059205,Sassuolo,1,2013-09-01T00:00:00
1533.04693249,221.082598569,Catania,1,2013-09-15T00:00:00
1507.09831918,198.170017289,Genoa,0.5,2013-09-21T00:00:00
1494.62646403,179.87876399,Cagliari,0.5,2013-09-25T00:00:00
1432.42019978,164.503223118,Hellas Verona,0,2013-09-29T00:00:00
1416.12881356,158.748714582,Napoli,0,2013-10-06T00:00:00
1339.63118126,148.960751773,Sampdoria,0,2013-10-20T00:00:00
1275.89958902,139.922730903,Bologna,0,2013-10-27T00:00:00
1299.11736869,133.76445263,Torino,0.5,2013-10-30T00:00:00
1362.35522766,127.957234742,Atalanta,1,2013-11-03T00:00:00
1351.68390326,125.190602779,Internazionale,0,2013-11-09T00:00:00
