mu,sigma,opp,result,date
1337.69078745,290.31746003,Internazionale,0,2013-08-25T00:00:00
1279.68483035,260.486532706,Fiorentina,0,2013-09-01T00:00:00
1409.25442146,225.013041744,Sampdoria,1,2013-09-15T00:00:00
1436.18995335,200.751235068,Livorno,0.5,2013-09-21T00:00:00
1339.37092874,181.373498511,Udinese,0,2013-09-24T00:00:00
1328.89353868,177.224655573,Napoli,0,2013-09-28T00:00:00
1326.75618737,162.205977853,Catania,0.5,2013-10-06T00:00:00
1375.50856282,150.322992499,Chievo Verona,1,2013-10-20T00:00:00
1360.98680934,145.662433367,Juventus,0,2013-10-27T00:00:00
1429.58295539,137.662666072,Parma,1,2013-10-30T00:00:00
1485.5915706,130.107445158,Lazio,1,2013-11-03T00:00:00
1543.97530637,124.431166895,Hellas Verona,1,2013-11-10T00:00:00
