mu,sigma,opp,result,date
1662.30921255,290.31746003,Genoa,1,2013-08-25T00:00:00
1720.31516965,260.486532706,Catania,1,2013-09-01T00:00:00
1738.77497217,225.269772111,Juventus,0.5,2013-09-14T00:00:00
1753.03188904,218.369076815,Sassuolo,1,2013-09-22T00:00:00
1835.45491474,193.788799719,Fiorentina,1,2013-09-26T00:00:00
1773.69734227,184.644652517,Cagliari,0.5,2013-09-29T00:00:00
1724.12592501,169.904606884,AS Roma,0,2013-10-05T00:00:00
1686.78701875,160.282664282,Torino,0.5,2013-10-20T00:00:00
1739.19821157,148.2541951,Hellas Verona,1,2013-10-26T00:00:00
1705.65441437,142.211318584,Atalanta,0.5,2013-10-29T00:00:00
1724.13353013,136.80719024,Udinese,1,2013-11-03T00:00:00
1736.15202609,133.30800779,Livorno,1,2013-11-09T00:00:00
