mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Cardiff City,1,2013-08-17T00:00:00
1576.68875092,260.486536783,Newcastle United,0.5,2013-08-24T00:00:00
1432.70989481,226.244094029,Stoke City,0,2013-08-31T00:00:00
1423.80433177,200.795079048,Southampton,0.5,2013-09-15T00:00:00
1380.34157146,184.849182269,Everton,0,2013-09-21T00:00:00
1334.85294839,170.174610146,Hull City,0,2013-09-28T00:00:00
1451.16950492,163.254121417,Tottenham Hotspur,1,2013-10-06T00:00:00
1417.59594428,152.919706764,Manchester City,0,2013-10-19T00:00:00
1431.43530161,143.099553421,Swansea City,0.5,2013-10-27T00:00:00
1438.8978696,134.363842239,Aston Villa,0.5,2013-11-02T00:00:00
