mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Sassuolo,1,2013-08-25T00:00:00
1433.06224852,260.486583291,Atalanta,0,2013-09-01T00:00:00
1466.35605224,228.066057331,AC Milan,0.5,2013-09-14T00:00:00
1543.04426122,201.934823296,Bologna,1,2013-09-22T00:00:00
1538.75431062,181.759406759,Hellas Verona,0.5,2013-09-25T00:00:00
1512.95784834,172.228882025,Juventus,0,2013-09-29T00:00:00
1471.26585639,163.551456593,Sampdoria,0.5,2013-10-06T00:00:00
1505.69168912,155.042409447,Internazionale,0.5,2013-10-20T00:00:00
1486.12983475,148.625134621,Napoli,0,2013-10-27T00:00:00
1459.79429027,141.11151157,Livorno,0.5,2013-10-30T00:00:00
1503.96518864,139.563391833,AS Roma,0.5,2013-11-03T00:00:00
