mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Real Valladolid,1,2013-08-17T00:00:00
1720.31516965,260.486532706,Osasuna,1,2013-08-23T00:00:00
1623.90593213,225.26978626,Real Madrid,0,2013-09-01T00:00:00
1707.10161163,199.292920478,Celta Vigo,1,2013-09-16T00:00:00
1623.24723543,179.947331498,Espanyol,0,2013-09-23T00:00:00
1664.88144148,166.288819331,Real Betis,1,2013-09-26T00:00:00
1560.76845802,158.093880657,Granada,0,2013-09-30T00:00:00
1544.61600473,147.368720917,Valencia,0.5,2013-10-06T00:00:00
1615.10209035,139.602669972,Villarreal,1,2013-10-21T00:00:00
1661.60919215,131.446305255,Getafe,1,2013-10-28T00:00:00
1642.00211115,126.063044143,Elche,0.5,2013-10-31T00:00:00
1625.55440424,122.229659443,Atletico Madrid,0,2013-11-03T00:00:00
