name,mu,sigma,sanitizedname,last5,leaguerecord,otherrecord
AS Monaco,1648.51207436,155.040788064,asmonaco,1804.24|1733.02|1754.16|1680.45|1648.51,7-5-1,0-0-0
Genoa,1593.6395311,146.239831332,genoa,1377.15|1357.15|1447.42|1517.43|1593.64,5-2-5,0-0-0
Atalanta,1452.75366022,145.857001155,atalanta,1544.67|1457.17|1495.22|1405.30|1452.75,5-1-6,0-0-0
Bastia,1541.91598107,139.861835408,bastia,1500.35|1479.10|1551.21|1493.94|1541.92,5-3-5,0-0-0
Fulham,1304.91234968,156.200629754,fulham,1327.28|1377.35|1350.87|1326.57|1304.91,3-1-7,0-0-0
Athletic Bilbao,1667.88468721,142.497445974,athleticbilbao,1619.82|1684.07|1656.28|1630.99|1667.88,7-2-4,0-0-0
Lorient,1330.74713883,149.344860124,lorient,1282.76|1243.08|1302.60|1293.41|1330.75,3-2-8,0-0-0
Newcastle United,1632.19052637,155.732754981,newcastleunited,1527.50|1545.81|1426.37|1546.80|1632.19,5-2-4,0-0-0
Juventus,1860.73425212,149.355032885,juventus,1740.95|1753.12|1776.67|1788.98|1860.73,10-1-1,0-3-1
Borussia Dortmund,1717.25047908,145.051318733,borussiadortmund,1813.43|1839.06|1854.30|1800.03|1717.25,9-1-2,2-0-2
Sampdoria,1327.82575259,152.399565329,sampdoria,1365.97|1465.46|1424.47|1344.01|1327.83,2-3-7,0-0-0
Getafe,1545.01820479,144.386200447,getafe,1664.31|1596.89|1659.78|1559.05|1545.02,6-2-5,0-0-0
Montpellier,1443.49258144,138.015808828,montpellier,1562.38|1515.04|1449.67|1467.40|1443.49,2-8-3,0-0-0
Parma,1433.18152533,146.416416712,parma,1449.77|1535.67|1449.63|1428.85|1433.18,3-4-5,0-0-0
VfB Stuttgart,1492.78765066,148.229930149,vfbstuttgart,1504.02|1487.91|1465.35|1449.87|1492.79,4-4-4,0-3-1
Sunderland,1352.0282611,177.776300817,sunderland,1090.27|1070.45|1236.56|1201.62|1352.03,2-1-8,0-0-0
Hannover 96,1387.14435783,140.82578369,hannover96,1581.05|1535.58|1461.90|1396.72|1387.14,4-2-6,0-0-0
Sevilla FC,1472.15994486,139.590750994,sevillafc,1498.66|1481.83|1412.60|1412.60|1472.16,4-4-5,6-2-0
Levante,1474.03504568,141.743074096,levante,1536.99|1607.46|1579.82|1510.52|1474.04,4-5-4,0-0-0
Sassuolo,1416.89245184,155.9301597,sassuolo,1354.78|1339.45|1282.45|1362.94|1416.89,2-4-6,0-0-0
