mu,sigma,opp,result,date
1337.69078745,290.31746003,Fiorentina,0,2013-08-26T00:00:00
1279.68483035,260.486532706,Internazionale,0,2013-09-01T00:00:00
1208.36434591,229.327446349,Livorno,0,2013-09-15T00:00:00
1227.16137356,203.879053625,Parma,0.5,2013-09-22T00:00:00
1197.70187535,191.536441682,Lazio,0,2013-09-25T00:00:00
1315.96355413,177.717159946,Chievo Verona,1,2013-09-29T00:00:00
1318.11318808,162.562734263,Genoa,0.5,2013-10-06T00:00:00
1273.93015119,151.144131745,Cagliari,0,2013-10-19T00:00:00
1282.93738536,141.617489792,Sassuolo,0.5,2013-10-27T00:00:00
1274.93434899,139.237903886,Juventus,0,2013-10-30T00:00:00
1270.53984182,138.058584718,Napoli,0,2013-11-02T00:00:00
1332.31656618,130.921965796,Udinese,1,2013-11-09T00:00:00
