mu,sigma,opp,result,date
1337.69078745,290.31746003,Real Sociedad,0,2013-08-17T00:00:00
1337.69078745,247.461044398,Almeria,0.5,2013-08-23T00:00:00
1219.33617321,217.485612428,Real Valladolid,0,2013-08-31T00:00:00
1311.51893313,195.15035569,Osasuna,1,2013-09-15T00:00:00
1299.93376471,190.193551339,Real Madrid,0,2013-09-22T00:00:00
1420.10684105,176.961156426,Celta Vigo,1,2013-09-26T00:00:00
1532.46848912,166.67703665,Espanyol,1,2013-09-29T00:00:00
1591.141214,153.278465394,Real Betis,1,2013-10-06T00:00:00
1625.82166256,143.87113972,Granada,1,2013-10-20T00:00:00
1576.60785551,134.865730187,Athletic Bilbao,0,2013-10-28T00:00:00
1628.35030912,127.78113216,Villarreal,1,2013-10-31T00:00:00
1559.8730276,124.103128472,Valencia,0,2013-11-03T00:00:00
1550.11320102,118.567107704,Elche,0.5,2013-11-09T00:00:00
