mu,sigma,opp,result,date
1500,350,,,
1662.30921255,290.31746003,Guingamp,1,2013-08-11T00:00:00
1751.7540581,251.258491525,Evian Thonon Gaillard,1,2013-08-17T00:00:00
1797.64859137,229.959268743,Valenciennes,1,2013-08-24T00:00:00
1670.34899743,205.410151406,AS Monaco,0,2013-09-01T00:00:00
1608.11394655,193.495946104,Toulouse,0.5,2013-09-14T00:00:00
1556.54404821,177.62221395,Arsenal,0,2013-09-18T00:00:00
1543.05460859,163.299238913,Bastia,0.5,2013-09-21T00:00:00
1597.67689644,151.504532145,St Etienne,1,2013-09-24T00:00:00
1622.85671793,144.190440914,Lorient,1,2013-09-28T00:00:00
1589.43212872,136.456189725,Borussia Dortmund,0,2013-10-01T00:00:00
1562.4944744,130.073358826,Paris Saint-Germain,0,2013-10-06T00:00:00
1518.20439094,123.521745919,Nice,0,2013-10-18T00:00:00
1503.45318995,120.081352735,Napoli,0,2013-10-22T00:00:00
1466.80254946,114.925540638,Stade de Reims,0,2013-10-26T00:00:00
1467.68236272,110.275668291,Stade Rennes,0.5,2013-11-02T00:00:00
1460.74839826,108.932644361,Napoli,0,2013-11-06T00:00:00
